DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
2021.07.14,09:00:00,121520,121750,121500,121650,204,133412,0,2021-07-14 09:00:00
2021.07.14,09:05:00,121650,122050,121650,121910,344,270853,10,2021-07-14 09:05:00
2021.07.14,09:10:00,121990,122000,121460,121460,252,113831,10,2021-07-14 09:10:00
2021.07.14,09:15:00,121460,121490,121380,121450,262,132061,10,2021-07-14 09:15:00
2021.07.14,09:20:00,121460,121500,121430,121430,231,129628,10,2021-07-14 09:20:00
2021.07.14,09:25:00,121430,121560,121380,121430,246,137033,10,2021-07-14 09:25:00
2021.07.14,09:30:00,121430,121740,121430,121570,218,103852,10,2021-07-14 09:30:00
2021.07.14,09:35:00,121570,121580,121420,121530,215,74790,10,2021-07-14 09:35:00
2021.07.14,09:40:00,121530,121950,121530,121750,219,112420,10,2021-07-14 09:40:00
2021.07.14,09:45:00,121750,121920,121620,121910,252,77935,10,2021-07-14 09:45:00
2021.07.14,09:50:00,121910,121960,121790,121790,229,209616,10,2021-07-14 09:50:00
2021.07.14,09:55:00,121790,121800,121550,121700,246,121930,10,2021-07-14 09:55:00
2021.07.14,10:00:00,121700,121790,121600,121700,209,134351,10,2021-07-14 10:00:00
2021.07.14,10:05:00,121710,121810,121700,121800,219,67833,10,2021-07-14 10:05:00
2021.07.14,10:10:00,121830,121900,121780,121900,218,115274,10,2021-07-14 10:10:00
2021.07.14,10:15:00,121880,121990,121870,121910,288,150337,10,2021-07-14 10:15:00
2021.07.14,10:20:00,121900,122050,121900,121900,389,280467,10,2021-07-14 10:20:00
2021.07.14,10:25:00,121900,122080,121900,122050,297,196633,10,2021-07-14 10:25:00
2021.07.14,10:30:00,122050,122200,122050,122120,334,160893,10,2021-07-14 10:30:00
2021.07.14,10:35:00,122140,122190,121950,122000,273,113497,10,2021-07-14 10:35:00
2021.07.14,10:40:00,122000,122150,122000,122010,180,48500,10,2021-07-14 10:40:00
2021.07.14,10:45:00,122010,122010,121900,121910,237,62549,10,2021-07-14 10:45:00
2021.07.14,10:50:00,121910,122070,121910,122070,265,133263,10,2021-07-14 10:50:00
2021.07.14,10:55:00,122050,122070,121970,122050,271,220134,10,2021-07-14 10:55:00
2021.07.14,11:00:00,122050,122090,121880,121890,254,112836,10,2021-07-14 11:00:00
2021.07.14,11:05:00,121900,122060,121890,122000,218,91485,10,2021-07-14 11:05:00
2021.07.14,11:10:00,122000,122040,121890,121890,205,130545,10,2021-07-14 11:10:00
2021.07.14,11:15:00,121880,121890,121820,121850,239,250999,10,2021-07-14 11:15:00
2021.07.14,11:20:00,121850,122000,121810,121980,248,102205,10,2021-07-14 11:20:00
2021.07.14,11:25:00,121870,121980,121830,121850,196,76586,10,2021-07-14 11:25:00
2021.07.14,11:30:00,121850,122000,121830,121990,236,101378,10,2021-07-14 11:30:00
2021.07.14,11:35:00,121970,122010,121900,121990,198,98131,10,2021-07-14 11:35:00
2021.07.14,11:40:00,122000,122030,121950,121980,241,116733,10,2021-07-14 11:40:00
2021.07.14,11:45:00,122000,122010,121950,121980,204,176584,10,2021-07-14 11:45:00
2021.07.14,11:50:00,121980,122000,121950,121990,257,145855,10,2021-07-14 11:50:00
2021.07.14,11:55:00,121990,122000,121940,121980,236,113179,10,2021-07-14 11:55:00
2021.07.14,12:00:00,121990,121990,121880,121890,198,64886,10,2021-07-14 12:00:00
2021.07.14,12:05:00,121890,122000,121880,121980,256,140575,10,2021-07-14 12:05:00
2021.07.14,12:10:00,121980,122000,121890,121950,396,129433,10,2021-07-14 12:10:00
2021.07.14,12:15:00,121950,121970,121870,121890,257,141250,10,2021-07-14 12:15:00
2021.07.14,12:20:00,121860,121900,121800,121900,386,264701,10,2021-07-14 12:20:00
2021.07.14,12:25:00,121900,122100,121900,122090,510,328216,0,2021-07-14 12:25:00
2021.07.17,09:00:00,123650,126180,123650,125890,1305,1448331,0,2021-07-17 09:00:00
2021.07.17,09:05:00,125500,126000,123500,123500,1273,1064288,10,2021-07-17 09:05:00
2021.07.17,09:10:00,123500,123980,123400,123950,696,478641,10,2021-07-17 09:10:00
2021.07.17,09:15:00,123920,123980,123700,123970,537,307164,10,2021-07-17 09:15:00
2021.07.17,09:20:00,123970,123990,123520,123550,544,280380,10,2021-07-17 09:20:00
